19723	000000000001	B01	1702270002	0	1	1	64	1524	-35,0,0	0	0	-35	0	NULL	2017-02-27 04:33:09.593	2017-02-27 04:33:27.927	automatic
19725	000000000003	B01	1702270002	0	1	2	68	1704	-35,0,-70	0	-70	-35	0	000000000001	2017-02-27 04:33:13.753	2017-02-27 04:33:30.587	automatic
19724	000000000002	B01	1702270002	0	1	3	91	1412	-35,0,161	0	161	-35	0	NULL	2017-02-27 04:33:11.677	2017-02-27 04:33:34.350	automatic
19727	000000000005	B01	1702270002	0	1	4	92	1161	-35,0,-162	0	-162	-35	0	000000000002	2017-02-27 04:33:17.913	2017-02-27 04:33:37.017	automatic
19729	000000000007	B01	1702270002	0	1	5	189	1755	-35,0,322	0	322	-35	0	NULL	2017-02-27 04:33:22.117	2017-02-27 04:33:39.707	automatic
19730	000000000008	B01	1702270002	0	1	6	115	1491	-35,0,-324	0	-324	-35	0	NULL	2017-02-27 04:33:24.227	2017-02-27 04:33:43.460	automatic
19728	000000000006	B01	1702270002	0	1	7	119	1452	-35,0,581	0	581	-35	0	000000000005	2017-02-27 04:33:20.010	2017-02-27 04:33:39.707	automatic
19726	000000000004	B01	1702270002	0	1	8	143	1247	-35,0,-509	0	-509	-35	0	000000000003	2017-02-27 04:33:15.830	2017-02-27 04:33:43.460	automatic
19732	000000000010	B01	1702270002	0	2	1	152	1025	144,90,0	0	0	144	90	NULL	2017-02-27 04:33:28.420	2017-02-27 04:33:51.557	automatic
19734	000000000012	B01	1702270002	0	2	2	182	1430	144,90,-70	-70	0	144	90	NULL	2017-02-27 04:33:32.613	2017-02-27 04:33:55.313	automatic
19735	000000000013	B01	1702270002	0	2	3	192	1881	144,90,222	222	0	144	90	NULL	2017-02-27 04:33:34.713	2017-02-27 04:33:57.973	automatic
19736	000000000014	B01	1702270002	0	2	4	85	1694	144,90,-322	-322	0	144	90	NULL	2017-02-27 04:33:36.793	2017-02-27 04:34:00.630	automatic
19731	000000000009	B01	1702270002	0	2	5	190	1379	144,90,484	484	0	144	90	NULL	2017-02-27 04:33:26.350	2017-02-27 04:33:57.973	automatic
19733	000000000011	B01	1702270002	0	2	6	195	1740	144,90,-477	-477	0	144	90	000000000010	2017-02-27 04:33:30.490	2017-02-27 04:34:00.630	automatic
19738	000000000016	B01	1702270002	0	3	1	94	1405	329,0,0	0	0	329	0	NULL	2017-02-27 04:33:40.940	2017-02-27 04:34:09.867	automatic
19740	000000000018	B01	1702270002	0	3	2	140	1954	329,0,-70	0	-70	329	0	NULL	2017-02-27 04:33:45.140	2017-02-27 04:34:12.523	automatic
19741	000000000019	B01	1702270002	0	3	3	84	1041	329,0,164	0	164	329	0	NULL	2017-02-27 04:33:47.300	2017-02-27 04:34:16.283	automatic
19742	000000000020	B01	1702270002	0	3	4	165	1878	329,0,-280	0	-280	329	0	NULL	2017-02-27 04:33:49.393	2017-02-27 04:34:18.950	automatic
19743	000000000023	B01	1702270002	0	3	5	65	1381	329,0,318	0	318	329	0	NULL	2017-02-27 04:33:53.580	2017-02-27 04:34:21.640	automatic
19739	000000000017	B01	1702270002	0	3	6	184	1115	329,0,-515	0	-515	329	0	000000000016	2017-02-27 04:33:43.057	2017-02-27 04:34:18.950	automatic
19737	000000000015	B01	1702270002	0	3	7	199	1840	329,0,453	0	453	329	0	NULL	2017-02-27 04:33:38.860	2017-02-27 04:34:21.640	automatic
19745	000000000025	B01	1702270002	0	4	1	85	1267	518,90,0	0	0	518	90	NULL	2017-02-27 04:33:57.793	2017-02-27 04:34:30.743	automatic
